	id	lemma	sense_id	left	word	right	senses	tagged_left_context	tagged_word	tagged_right_context
0	1	акция	1	7%. Вместе с тем, на мировых рынках нашлись и группы компаний, чьи	акции	пошли вверх. Прежде всего это относится к таким крупнейшим производителям лекарств и	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	7 % . вместе с то , на мировой рынок находиться и группа компания , чей	акция	пойти вверх . прежде все это относиться к такой крупный производитель лекарство и
1	2	акция	1	в ЕГРЮЛ только 5 октября 2012 года, а госрегистрация отчета о выпуске	акций	датируется 7 декабря 2012 года. Допэмиссию акций завершили в начале сентября 2013	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	в егрюл только 5 октябрь 2012 год , а госрегистрация отчет о выпуск	акция	датировать 7 декабрь 2012 год . допэмиссия акция завершать в начало сентябрь 2013
2	3	акция	1	. Особенно чувствительным было падение за последнюю неделю, когда на Московской бирже обыкновенные	акции	банка просели более чем в два раза по сравнению с динамикой индекса	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	. особенно чувствительный быть падение за последний неделя , когда на московский биржа обыкновенный	акция	банк проседать более чем в два раз по сравнение с динамика индекс
3	4	акция	1	". ОАО ""Росспиртпром"" (бывшее ФГУП) создано в январе 2009 года. Государству принадлежит 100%"	акций	"ОАО, уставный капитал составляет 9,02 миллиарда рублей. Также в капитал ""Росспиртпрома"""	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	". оао "" росспиртпром "" ( быть фгуп ) создавать в январь 2009 год . государство принадлежать 100 %"	акция	"оао , уставной капитал составлять 9,02 миллиард рубль . также в капитал "" росспиртпром """
4	5	акция	1	в инструмент для спекуляций. Бумаги Сбербанка же выступают абсорбентом денег от продажи	акций	"компаний других секторов"", -- полагает М. Шеин. ""На рынке, как мне кажется, началась"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	в инструмент для спекуляция . бумага сбербанк же выступать абсорбенвать деньги от продажа	акция	"компания другой сектор "" , - - полагать м. шеин . "" на рынок , как я казаться , начинаться"
5	6	акция	1	. Впрочем, одна вполне конкретная реакция на это заявление была: за несколько дней	акции	"""Иркутскэнерго"" подорожали на 70%. Не исключено, что от этой идеи отказались под"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	. впрочем , один вполне конкретный реакция на этот заявление быть : за несколько день	акция	""" иркутскэнерго "" дорожать на 70 % . не исключать , что от этот идея отказываться под"
6	7	акция	1	"словам представителя министерства, ""планируется, что государство в создаваемом СП будет владеть 51%"	акций	", Dujetikana -- 24%, Lietuvos dujos -- 23%"". Остальные доли будут распределены среди мелких акционеров"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"слово представитель министерство , "" планировать , что государство в создаваемый сп быть владеть 51 %"	акция	", dujetikana - - 24 % , lietuvos dujos - - 23 % "" . остальной доля быть распределить среди мелкий акционер"
7	8	акция	1	"Новый Регион"": Они вместе контролировали активы на Украине. Белковский: Да. ""Новый Регион"":"	Акции	"областных энергетических компаний и сетей отелей Украины, в числе которых отель ""Премьер"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"новый регион "" : они вместе контролировать актив на украина . белковский : да . "" новый регион "" :"	акция	"областной энергетический компания и сеть отель украина , в число который отель "" премьер"
8	9	акция	1	"млрд долл."", -- отмечается в финансовом отчете ""Газпрома"" по МСФО за первый квартал."	Акции	"компания скупает в интересах своей нефтяной ""дочки"". В пресс-службе ""Газпром нефти"" пояснили"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"миллиард долловек "" , - - отмечать в финансовый отчет "" газпром "" по мсфо за первый квартал ."	акция	"компания скупать в интерес свой нефтяной "" дочка "" . в пресс-служба "" газпром нефть "" пояснять"
9	10	акция	1	-- 106,7 млрд руб. Уставный капитал компании состоит из 124,8 млн	акций	". Контрольный пакет (54,42%) через Dixy Holding Limited принадлежит группе ""Меркурий"" Игоря"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	- - 106,7 миллиард рубль . уставной капитал компания состоять из 124,8 миллион	акция	". контрольный пакет ( 54,42 % ) через dixy holding limited принадлежать группа "" меркурий "" игорь"
