id	lemma	sense_id	tagged_left_context	tagged_word	tagged_right_context	senses
1	argument	4	she national gallery choice of picture be example of problem pos to artist by colour , and in a video talk she demonstrate how this artistic problem have be solve . connections with she own practice as a painter be evident , even though she abstract composition be very different in subject from the work of she chose artist , who include veronis and poussin . she	argument	be that the subject of the old master painting could be disregard by a painter who wish to find lesson for the present in the artistic practice of the past . bridget riley have no intention of either present an account of poussin 's aim and procedure , or of demonstrat veronis 's debt to he predecessor in venetian art , as a historian would have feel a duty to do . the artist as critic in this case deliberately avoid the historical context of the picture she be discuss .	None
2	argument	2	if a critic have a very decided political or religious point of view , this can override other consideration in judgement about art ; the viewpoint may also give a bias to the description or interpretation make . a remarkable marxist interpretation , for example , be make of florentine paint from giotto 's time to the fifteen century , by frederick antal in the 1940 . late writer , even that sympathetic to antal 's thesis , have admit that the	argument	about class conflict in the period be exaggerat , but this do not exclude the possibility that an equally unexpected approach may not throw light on some apparently exhausted topic . of course , a theorist may damage an argument through bias , perhaps exclud relevant evidence inconvenient to the case be make ; but this be not a danger exclusive to theorist . omission be much patent perhaps in survey make with a political bias .	None
3	argument	4	a remarkable marxist interpretation , for example , be make of florentine paint from giotto 's time to the fifteen century , by frederick antal in the 1940 . late writer , even that sympathetic to antal 's thesis , have admit that the	argument	about class conflict in the period be exaggerat , but this do not exclude the possibility that an equally unexpected approach may not throw light on some apparently exhausted topic . of course , a theorist may damage an argument through bias , perhaps exclud relevant evidence inconvenient to the case be make ; but this be not a danger exclusive to theorist . omission be much patent perhaps in survey make with a political bias . we have already mention in pass the state policy regard the art in germany , the ussr and china ; there have be swrite who follow the party line by give attention to that artist favoure by patronage , while neglect other .	None
4	argument	2	as in book on the philosophy of art , or aesthetics , many do not in fact contain any art criticism , in the sense of description , interpretation and judgement of individual work . they strength be rather in cleare the ground of preconceive idea about the art , and put new point of view . when work of art be descri only that aspect of an image important to the	argument	be inclu . it be in this arena that some of the fierce intellectual fight about art be take place , though the contest range wide than the visual art to politics and economic . for example , chadwick state : there can be no simple category define as feminist art history , since the effect of new idea be that much recend scholarly write have shift attention from the category art and artist to broad issue concern ideology of gender , sexuality , and power .	None
5	argument	3	they may , however , not be exactly what the author would have prefer , as a colour plate which be readily available ( perhaps have be use in another publication ) be much cheaper to use than a new plate which have to be commission . the reader can thus be aware that a write may have write round what happen to have be offer . this may be important in assesse how well a write illustrate an	argument	. the standard which can be obtain in colour reproduction today be high , but not always attain . comparison of illustration of the same picture in several publication will demonstrate this truism , while the good test of look at a reproduction in front of the picture it can be a dishearten experience .	None
6	argument	2	in all capitalist democracie there be two source for the legitimacy of the state , namely statehand it and the ideology specific to the state in question . it will be argue that when the second source be threaten as well as the first , the power to coerce can devolve on the civil sphere in a substantive way . the conclusion to the	argument	will be that there be a specific form of violence of a political kind outside of state control which cannot be reduce to crime . the specificity of this form of violence or coercion have to be recognize , however one feel about the terrible consequence of it for the innocent . this form of political violence require political answer and not just an anti - criminal , police - orient , coercive response .	None
7	argument	4	covenant theology it empower the people to take action against the state in certain and specific circumstance , and ian paisley and many of he supporter both within and without the orange order have frequently use bully - boy tactics , and appro paramilitary procession , marche , and drill . from carson to paisley one find the	argument	that it be legitimate to fight to regain one 's fundamental freedom if the sovereign with who one have covenant one 's allegiance betray that allegiance and conduct one into slavery . the argument be clearly inspire by a religious motivation and show ulster protestantism to be a vigorous form of political religion , approve whatever defensive measure be necessary to avoid submission to rome rule . ulster protestantism be not contain within church but spill out on to the street . religion be also involve in the violence indirect .	None
8	argument	4	perhaps the much reveale aspect of the whole affair be the way dr browne handle it . the member of he party appeare to know nothing about the opposition of the hierarchy to the early bill , and dr browne only find out in october/november 1950 . when he be tell of the hierarchy 's opposition to any bill of this kind , dr browne , he secularly inclin , submit he proposal and	argument	s to the hierarchy for approval , just as a previous health minister , dr walsh , have consult archbishop mcquaid on a similar matter in 1946 . if a man of such convictions feel it necessary to follow this course , how much very would have he religiously devoted colleague . in fact , he cabinet colleague , already unsure about public support for the bill and alienate from dr browne by he provocative politics , be not prepare to go against the hierarchy 's condemnation and refuse to support the proposal .	None
9	argument	4	but they do and still do remain the authoritative conscience of the nation . in addition , the clergy appear to have considerable difficulty in recognize the transformation which theoretical position on christian belief and morality undergo as they be concretize in historical human relationship , doubtless also because of the strong essentialist bias in they perception of socio - ethical issue . part of the overall	argument	of this book be that , as the roman catholic church be principal validator or legitimator of the southern state along with the concept of the national entity , what that state go on to do in the field of social ethics cannot be separate out from the responsibility of the church . this structural link between politics and religion be underline by the legitimacy the church give to the state as a whole , by recognize it simply as society . however , it be the further legitimation give to a particular socio - ethical form of political religion in the constitution and to the implied authority of religious intellectual in decide in concreto what must be take by the state as in the interest of the common good which give to conflict in ireland between the two alliance it political religious dimension in the sphere of law .	None
10	argument	4	this last be soon replace , on 9 may , by a much specific and high organize pressure group heade by many who have previously mount the pro - life anti - abortion campaign . of particular importance to the anti - divorce campaign be a lawyer , william binchy , who have already produce a book in 1984 on the subject . large publicity campaign begin and the irish time also lent it weight to the pro - divorce	argument	, campaign in it column until the eve of the referendum in late june . though the coalition government be allow they tds the irish equivalent for mp a free vote on the issue , it party , fine gael and labour , officially sponsore the campaign for the constitutional change . fianna fil appear to be equally divide on the issue .	None
